Symbol,"Company Name","My Rating","Volatility Rankings","Quantitative Grade","Fundamental Grade","Sales Growth","Operating Margin Growth","Earnings Growth","Earnings Revisions","Earnings Surprises","Earnings Momentum","Cash Flow","Return on Equity","Market Cap ($B)","Current P/E","Dividend Yield (%)","52-Week High ($)","52-Week Low ($)","Last Year EPS ($)","Last Qtr. Surprise (%)","Next Qtr. Sales (M)","Next Qtr. Sales Growth (%)","Next Qtr. EPS ($)","Next Qtr. Earnings Growth (%)","Est. Long-Term Growth (%)","Company Profile",Industry,"No. of Companies in Industry","Market Cap Rank","Estimated Sales Rank","Earnings Rank","Long-Term Growth Rank"
A,"Agilent Technologies, Inc.",B,Conservative,B,C,C,B,B,B,C,D,C,A,39.40,31.90,1.00,159.00,113.00,1.13,4.50,1.00,4.30,1.26,11.67,10.50,"Designs, manufactures and markets measurement and monitoring instruments","Medical Specialties",246,10,109,15,52
AAP,"Advance Auto Parts, Inc.",D,Conservative,D,C,D,A,B,F,B,F,C,B,7.08,14.44,4.08,228.02,119.40,3.57,19.31,3434.96,1.80,2.73,-23.45,1.51,"Operates automotive parts and accessories stores","Specialty Stores",80,14,32,27,34
AAPL,"Apple Inc.",B,Conservative,B,C,D,B,C,C,D,F,C,A,2455.57,26.33,0.70,178.96,125.02,1.52,-3.03,92631.45,-4.78,1.43,-6.00,5.93,"Designs, manufactures and markets mobile communication, media devices, personal computers, and portable digital music players","Telecommunications Equipment",50,1,28,13,20
ABB,"ABB Ltd. Shs Sponsored American Depositary Receipt",B,Conservative,B,C,C,D,D,B,A,C,C,A,62.80,24.60,3.00,35.00,24.00,0.30,47.20,7.00,6.40,0.40,32.81,9.00,"Operates as a power and automation technology company","Electrical Products",57,2,21,3,14
ABCB,"Ameris Bancorp",D,Conservative,D,C,B,C,C,D,D,D,B,B,2.48,7.17,1.27,53.76,35.79,1.08,-12.69,270.93,4.02,1.26,16.36,4.98,"Operates as a bank holding company through its subsidiary provides banking services","Regional Banks",243,38,151,89,98
ABT,"Abbott Laboratories",D,Conservative,D,C,F,D,D,C,B,F,D,A,168.58,24.80,2.00,123.00,95.00,1.73,11.30,9.00,-18.70,0.99,-42.73,1.20,"Engages in the discovery, development, manufacture and sale of health care products","Medical Specialties",246,3,175,52,76
ACGL,"Arch Capital Group Ltd.",A,Conservative,A,B,A,B,A,A,A,D,B,B,23.39,16.30,0.00,72.00,42.00,1.10,60.10,3.00,16.60,1.48,34.48,17.70,"Provides property and casualty insurance and reinsurance services","Multi-Line Insurance",35,9,6,4,13
ACI,"Albertsons Companies, Inc. Class A",D,Conservative,D,C,C,C,D,A,A,D,D,A,10.45,8.60,2.00,36.00,20.00,0.75,28.80,18.00,4.70,0.68,-9.46,0.10,"Operates as food and drug stores","Food Retail",12,2,4,4,7
ACM,AECOM,B,Conservative,A,C,D,C,A,B,C,D,B,B,11.44,34.60,1.00,91.00,61.00,0.83,5.40,1.00,2.80,0.90,7.86,13.40,"Engages in planning, consulting, architectural & engineering design, construction and program management services","Engineering & Construction",46,2,28,11,23
ADI,"Analog Devices, Inc.",B,Conservative,A,B,B,A,A,A,C,D,C,B,94.01,35.26,1.78,196.18,136.73,2.40,5.51,3205.28,7.85,2.75,14.72,7.13,"Designs, manufactures and markets integrated circuits used in analog and digital signal process",Semiconductors,101,9,25,15,39
